date,GPRD,GPRD_ACT,GPRD_THREAT,GPRD_MA30,GPRD_MA7,event
2021-11-09,84.5761947631836,28.105287551879883,117.21292114257812,78.06816864013672,68.42533874511719,
2021-11-10,135.30206298828125,37.209815979003906,193.97914123535156,80.88469696044922,77.2105484008789,
2021-11-11,83.04486846923828,45.9940299987793,115.09069061279297,80.93392181396484,71.54728698730469,
2021-11-12,101.21734619140625,27.51976203918457,153.02798461914062,81.17432403564453,75.01515197753906,
2021-11-13,63.277320861816406,37.84952926635742,89.44902801513672,81.43812561035156,80.0316162109375,
2021-11-14,51.49068832397461,34.22146224975586,71.3602066040039,79.5829849243164,80.75344848632812,
2021-11-15,141.16055297851562,28.14521026611328,211.282958984375,83.38326263427734,94.29557800292969,
2021-11-16,122.86271667480469,56.53131866455078,165.03445434570312,86.31023406982422,99.76507568359375,
2021-11-17,126.06885528564453,78.00877380371094,180.74172973632812,86.28885650634766,98.44605255126953,
2021-11-18,158.1717071533203,54.06337356567383,217.95529174804688,87.09986877441406,109.17845153808594,
2021-11-19,108.7573471069336,81.31694030761719,150.72525024414062,88.17813873291016,110.25559997558594,
2021-11-20,43.89743423461914,13.465325355529785,67.38847351074219,86.50788116455078,107.48704528808594,
2021-11-21,34.06239318847656,16.97877311706543,42.48591995239258,84.7752685546875,104.99728393554688,
2021-11-22,128.9940643310547,41.15104293823242,180.20118713378906,86.99375915527344,103.25921630859375,
2021-11-23,80.91041564941406,28.468717575073242,118.7286148071289,88.04273223876953,97.26602935791016,
2021-11-24,87.68561553955078,126.26714324951172,48.60889434814453,88.31128692626953,91.78271484375,
2021-11-25,118.09510040283203,47.09263610839844,166.93963623046875,87.4260025024414,86.05747985839844,
2021-11-26,58.97747039794922,9.799321174621582,98.0832290649414,85.9608154296875,78.9460678100586,
2021-11-27,57.11323547363281,0.0,94.9828872680664,84.66017150878906,80.83404541015625,
2021-11-28,35.52351379394531,0.0,59.07783126831055,83.98490905761719,81.04277038574219,
2021-11-29,60.78105545043945,20.19799041748047,101.08270263671875,84.34967041015625,71.29805755615234,
2021-11-30,92.78900909423828,18.50067901611328,146.59823608398438,85.21195220947266,72.99500274658203,
2021-12-01,86.94403076171875,17.335281372070312,130.134033203125,83.96568298339844,72.8890609741211,
2021-12-02,93.12439727783203,26.525070190429688,140.12200927734375,84.97428894042969,69.32181549072266,
2021-12-03,106.17205047607422,42.33809280395508,162.44509887695312,86.05316925048828,76.06389617919922,
2021-12-04,73.31639099121094,33.223052978515625,99.76069641113281,84.40745544433594,78.37863159179688,
2021-12-05,86.75772857666016,47.176734924316406,131.16685485839844,84.7346420288086,85.69780731201172,
2021-12-06,120.544677734375,67.29723358154297,184.43548583984375,87.81405639648438,94.23546600341797,
2021-12-07,202.4346923828125,155.9453125,237.19338989257812,93.01395416259766,109.89913940429688,
2021-12-08,145.55889892578125,52.76758575439453,212.73130798339844,96.32039642333984,118.27268981933594,
2021-12-09,104.557373046875,66.33170318603516,150.17381286621094,96.98643493652344,119.90597534179688,
2021-12-10,164.97715759277344,112.53166198730469,245.486572265625,97.97560119628906,128.30670166015625,
2021-12-11,95.62051391601562,34.04506301879883,153.34352111816406,98.39479064941406,131.49301147460938,
2021-12-12,76.4438705444336,16.935237884521484,127.13095092773438,97.56900787353516,130.01959228515625,
2021-12-13,110.41893005371094,10.483718872070312,174.88914489746094,99.14039611816406,128.57305908203125,
